Location	Name	ID	Count	Slots
Ear	Runed Earring of Veracity	29859	1	0
Head	Rotting Crown	31161	1	0
Face	Juzlix's Mask of Torment	8216	1	0
Ear	Lizard Bone Earring	27948	1	0
Neck	Surreptitious Broach	29459	1	0
Shoulders	Terrorclaws Hide	27889	1	0
Arms	Spirit Wracked Cord	5723	1	0
Back	White Dragonscale Cloak	11603	1	0
Wrist	Bracelet of Cessation	12804	1	0
Wrist	Bloody Griffon-Hide Wrist Guard	27712	1	0
Range	A Sandwich of Foul Smelling Herbs	5803	1	0
Hands	Coldain Skin Gloves	25026	1	0
Primary	Zlandicar's Heart	26009	1	0
Secondary	Rokyls Channelling Crystal	10219	1	0
Fingers	Regal band of Bathezid	5727	1	0
Fingers	Ring of the Shissar	19719	1	0
Chest	Blighted Robe	1233	1	0
Legs	Dreadfangs Hide	27884	1	0
Feet	Tenuous Dragonscale Slippers	29454	1	0
Waist	Belt of Dwarf Slaying	25858	1	0
Ammo	Turmoil Warts	8331	1	0
General1	Large Soiled Bag	17404	1	10
General1-Slot1	Sapphire Necklace	10050	1	0
General1-Slot2	Fishbone Earring	10313	1	0
General1-Slot3	Bone Chips	13073	13	0
General1-Slot4	Diamond	10037	2	0
General1-Slot5	Fire Emerald Ring	10049	1	0
General1-Slot6	Jacinth	10053	1	0
General1-Slot7	Turmoil Warts	8331	4	0
General1-Slot8	Bone Chips	13073	20	0
General1-Slot9	Empty	0	0	0
General1-Slot10	Peridot	10028	19	0
General2	Box of Abu-Kar	11703	1	10
General2-Slot1	Hand of the Reaper	14742	1	0
General2-Slot2	Amulet of the Haven	26054	1	0
General2-Slot3	Boots of Flowing Slime	27882	1	0
General2-Slot4	Pegasus Feather Cloak	2463	1	0
General2-Slot5	Velium Blue Diamond Bracelet	30299	1	0
General2-Slot6	Velium Blue Diamond Bracelet	30299	1	0
General2-Slot7	Platinum Diamond Wedding Ring	14707	1	0
General2-Slot8	Platinum Diamond Wedding Ring	14707	1	0
General2-Slot9	Fine Steel Morning Star	6351	1	0
General2-Slot10	Leather Whip	5038	1	0
General3	Box of Nil Space	17082	1	10
General3-Slot1	Manarock	2970	1	0
General3-Slot2	Essence Emerald	9963	10	0
General3-Slot3	Blighted Gloves	1236	1	0
General3-Slot4	Loam Encrusted Pantaloons	1651	1	0
General3-Slot5	Holgresh Elder Beads	24890	1	0
General3-Slot6	Silverflank Belt	27834	1	0
General3-Slot7	Rod of Mystical Transvergance	3426	1	0
General3-Slot8	Summoned: Muzzle of Mardu	1348	1	0
General3-Slot9	Ancient Silk Robe	24921	1	0
General3-Slot10	Tiny Jade Inlaid Coffin	9962	18	0
General4	Kavruul`s Mystic Pouch	17701	1	10
General4-Slot1	Cloak of Fading Hues	19726	1	0
General4-Slot2	Crown of the Froglok Kings	10142	1	0
